Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Fri, Nov 5, 1993",Indiana Pacers,110,Atlanta Hawks,116,Box Score,,"12,032",
"Fri, Nov 5, 1993",New York Knicks,111,Boston Celtics,108,Box Score,,"14,890",
"Fri, Nov 5, 1993",Chicago Bulls,124,Charlotte Hornets,123,Box Score,OT,"23,698",
"Fri, Nov 5, 1993",Milwaukee Bucks,94,Cleveland Cavaliers,91,Box Score,,"17,102",
"Fri, Nov 5, 1993",Minnesota Timberwolves,99,Detroit Pistons,104,Box Score,,"21,454",
"Fri, Nov 5, 1993",New Jersey Nets,88,Houston Rockets,110,Box Score,,"11,128",
"Fri, Nov 5, 1993",Portland Trail Blazers,95,Los Angeles Clippers,97,Box Score,,"11,246",
"Fri, Nov 5, 1993",Phoenix Suns,108,Los Angeles Lakers,116,Box Score,,"17,505",
"Fri, Nov 5, 1993",Orlando Magic,116,Miami Heat,96,Box Score,,"15,200",
"Fri, Nov 5, 1993",Washington Bullets,82,Philadelphia 76ers,94,Box Score,,"14,531",
"Fri, Nov 5, 1993",Denver Nuggets,100,Sacramento Kings,109,Box Score,,"17,317",
"Fri, Nov 5, 1993",Golden State Warriors,85,San Antonio Spurs,91,Box Score,,"36,523",
"Fri, Nov 5, 1993",Dallas Mavericks,86,Utah Jazz,102,Box Score,,"19,911",
"Sat, Nov 6, 1993",Miami Heat,95,Chicago Bulls,71,Box Score,,"18,676",
"Sat, Nov 6, 1993",Golden State Warriors,93,Dallas Mavericks,89,Box Score,,"13,195",
"Sat, Nov 6, 1993",Detroit Pistons,113,Indiana Pacers,107,Box Score,,"14,331",
"Sat, Nov 6, 1993",Charlotte Hornets,120,Milwaukee Bucks,103,Box Score,,"18,633",
"Sat, Nov 6, 1993",Utah Jazz,105,Minnesota Timberwolves,95,Box Score,,"18,827",
"Sat, Nov 6, 1993",Philadelphia 76ers,89,Orlando Magic,114,Box Score,,"15,291",
"Sat, Nov 6, 1993",Los Angeles Lakers,101,Seattle SuperSonics,129,Box Score,,"14,813",
"Sat, Nov 6, 1993",Boston Celtics,100,Washington Bullets,88,Box Score,,"18,756",
"Sun, Nov 7, 1993",New York Knicks,115,Cleveland Cavaliers,107,Box Score,OT,"17,727",
"Sun, Nov 7, 1993",Los Angeles Clippers,97,Denver Nuggets,99,Box Score,,"17,171",
"Sun, Nov 7, 1993",Sacramento Kings,110,Phoenix Suns,132,Box Score,,"19,023",
"Sun, Nov 7, 1993",Houston Rockets,106,Portland Trail Blazers,92,Box Score,,"12,888",
"Sun, Nov 7, 1993",New Jersey Nets,99,San Antonio Spurs,73,Box Score,,"15,280",
"Mon, Nov 8, 1993",Milwaukee Bucks,100,Boston Celtics,108,Box Score,,"14,890",
"Mon, Nov 8, 1993",Atlanta Hawks,80,Chicago Bulls,106,Box Score,,"18,157",
"Mon, Nov 8, 1993",Seattle SuperSonics,101,Utah Jazz,100,Box Score,,"19,911",
"Tue, Nov 9, 1993",Charlotte Hornets,108,Cleveland Cavaliers,113,Box Score,,"18,134",
"Tue, Nov 9, 1993",New Jersey Nets,86,Dallas Mavericks,80,Box Score,,"11,561",
"Tue, Nov 9, 1993",Washington Bullets,118,Detroit Pistons,112,Box Score,,"21,454",
"Tue, Nov 9, 1993",Houston Rockets,102,Golden State Warriors,93,Box Score,,"15,025",
"Tue, Nov 9, 1993",Phoenix Suns,114,Los Angeles Clippers,99,Box Score,,"12,112",
"Tue, Nov 9, 1993",Portland Trail Blazers,109,Los Angeles Lakers,102,Box Score,,"11,476",
"Tue, Nov 9, 1993",Philadelphia 76ers,86,New York Knicks,95,Box Score,,"19,763",
"Tue, Nov 9, 1993",Indiana Pacers,98,Orlando Magic,104,Box Score,,"15,291",
"Tue, Nov 9, 1993",Minnesota Timberwolves,95,San Antonio Spurs,110,Box Score,,"16,087",
"Tue, Nov 9, 1993",Denver Nuggets,86,Seattle SuperSonics,118,Box Score,,"14,253",
"Wed, Nov 10, 1993",Chicago Bulls,91,Milwaukee Bucks,90,Box Score,,"18,633",
"Wed, Nov 10, 1993",Boston Celtics,91,Philadelphia 76ers,89,Box Score,,"9,652",
"Wed, Nov 10, 1993",San Antonio Spurs,93,Phoenix Suns,101,Box Score,,"19,032",
"Wed, Nov 10, 1993",Los Angeles Lakers,101,Sacramento Kings,112,Box Score,,"17,317",
"Wed, Nov 10, 1993",Atlanta Hawks,88,Utah Jazz,91,Box Score,,"19,911",
"Wed, Nov 10, 1993",New York Knicks,92,Washington Bullets,84,Box Score,,"13,522",
"Thu, Nov 11, 1993",Orlando Magic,87,Charlotte Hornets,120,Box Score,,"23,698",
"Thu, Nov 11, 1993",Minnesota Timberwolves,99,Houston Rockets,107,Box Score,,"10,238",
"Thu, Nov 11, 1993",Detroit Pistons,99,Los Angeles Clippers,111,Box Score,,"9,021",
"Thu, Nov 11, 1993",Milwaukee Bucks,103,Miami Heat,116,Box Score,,"15,010",
"Thu, Nov 11, 1993",Indiana Pacers,108,New Jersey Nets,105,Box Score,OT,"16,151",
"Thu, Nov 11, 1993",Cleveland Cavaliers,102,Seattle SuperSonics,115,Box Score,,"14,813",
"Fri, Nov 12, 1993",Charlotte Hornets,110,Boston Celtics,107,Box Score,,"14,890",
"Fri, Nov 12, 1993",Cleveland Cavaliers,102,Golden State Warriors,93,Box Score,,"15,025",
"Fri, Nov 12, 1993",New York Knicks,103,Indiana Pacers,84,Box Score,,"13,954",
"Fri, Nov 12, 1993",Denver Nuggets,113,Los Angeles Lakers,84,Box Score,,"11,215",
"Fri, Nov 12, 1993",Dallas Mavericks,115,Minnesota Timberwolves,99,Box Score,,"18,346",
"Fri, Nov 12, 1993",Miami Heat,115,Orlando Magic,100,Box Score,,"15,291",
"Fri, Nov 12, 1993",Atlanta Hawks,84,Portland Trail Blazers,94,Box Score,,"12,888",
"Fri, Nov 12, 1993",San Antonio Spurs,91,Sacramento Kings,93,Box Score,,"17,317",
"Fri, Nov 12, 1993",Detroit Pistons,89,Utah Jazz,109,Box Score,,"19,911",
"Fri, Nov 12, 1993",Philadelphia 76ers,93,Washington Bullets,105,Box Score,,"18,756",
"Sat, Nov 13, 1993",Boston Celtics,98,Chicago Bulls,97,Box Score,,"18,676",
"Sat, Nov 13, 1993",Utah Jazz,101,Dallas Mavericks,100,Box Score,,"13,187",
"Sat, Nov 13, 1993",Golden State Warriors,106,Denver Nuggets,98,Box Score,,"17,171",
"Sat, Nov 13, 1993",Phoenix Suns,95,Houston Rockets,99,Box Score,,"16,611",
"Sat, Nov 13, 1993",San Antonio Spurs,90,Los Angeles Clippers,92,Box Score,,"12,416",
"Sat, Nov 13, 1993",Philadelphia 76ers,98,New Jersey Nets,97,Box Score,,"12,936",
"Sat, Nov 13, 1993",Milwaukee Bucks,86,New York Knicks,99,Box Score,,"19,763",
"Sat, Nov 13, 1993",Atlanta Hawks,89,Seattle SuperSonics,97,Box Score,OT,"14,813",
"Sun, Nov 14, 1993",Cleveland Cavaliers,100,Los Angeles Lakers,107,Box Score,,"11,139",
"Sun, Nov 14, 1993",Sacramento Kings,102,New Jersey Nets,132,Box Score,,"12,562",
"Sun, Nov 14, 1993",Detroit Pistons,111,Portland Trail Blazers,114,Box Score,,"12,888",
"Mon, Nov 15, 1993",Houston Rockets,88,Philadelphia 76ers,84,Box Score,,"9,282",
"Tue, Nov 16, 1993",Sacramento Kings,95,Atlanta Hawks,118,Box Score,,"6,949",
"Tue, Nov 16, 1993",New York Knicks,103,Dallas Mavericks,90,Box Score,,"12,918",
"Tue, Nov 16, 1993",San Antonio Spurs,86,Denver Nuggets,74,Box Score,,"13,549",
"Tue, Nov 16, 1993",Phoenix Suns,116,Golden State Warriors,104,Box Score,,"15,025",
"Tue, Nov 16, 1993",Charlotte Hornets,102,Indiana Pacers,93,Box Score,,"11,896",
"Tue, Nov 16, 1993",Los Angeles Clippers,114,Los Angeles Lakers,116,Box Score,2OT,"11,012",
"Tue, Nov 16, 1993",Minnesota Timberwolves,102,Milwaukee Bucks,98,Box Score,,"13,871",
"Tue, Nov 16, 1993",Houston Rockets,90,New Jersey Nets,84,Box Score,,"9,110",
"Tue, Nov 16, 1993",Utah Jazz,96,Orlando Magic,114,Box Score,,"15,291",
"Tue, Nov 16, 1993",Cleveland Cavaliers,101,Portland Trail Blazers,96,Box Score,,"12,888",
"Tue, Nov 16, 1993",Chicago Bulls,94,Seattle SuperSonics,95,Box Score,,"14,813",
"Wed, Nov 17, 1993",New Jersey Nets,100,Boston Celtics,105,Box Score,,"14,890",
"Wed, Nov 17, 1993",Sacramento Kings,113,Charlotte Hornets,130,Box Score,,"23,698",
"Wed, Nov 17, 1993",Orlando Magic,92,Detroit Pistons,98,Box Score,,"21,454",
"Wed, Nov 17, 1993",Utah Jazz,115,Miami Heat,111,Box Score,,"14,879",
"Wed, Nov 17, 1993",Atlanta Hawks,92,Philadelphia 76ers,90,Box Score,,"8,797",
"Wed, Nov 17, 1993",New York Knicks,90,San Antonio Spurs,95,Box Score,,"18,726",
"Wed, Nov 17, 1993",Milwaukee Bucks,104,Washington Bullets,117,Box Score,,"6,817",
"Thu, Nov 18, 1993",Cleveland Cavaliers,93,Denver Nuggets,100,Box Score,,"13,381",
"Thu, Nov 18, 1993",Los Angeles Lakers,76,Golden State Warriors,103,Box Score,,"15,025",
"Thu, Nov 18, 1993",Houston Rockets,99,Indiana Pacers,83,Box Score,,"9,276",
"Thu, Nov 18, 1993",Dallas Mavericks,84,Los Angeles Clippers,88,Box Score,,"8,362",
"Thu, Nov 18, 1993",Chicago Bulls,98,Portland Trail Blazers,120,Box Score,,"12,888",
"Fri, Nov 19, 1993",Orlando Magic,106,Boston Celtics,115,Box Score,,"14,890",
"Fri, Nov 19, 1993",Washington Bullets,111,Charlotte Hornets,127,Box Score,,"23,698",
"Fri, Nov 19, 1993",San Antonio Spurs,86,Detroit Pistons,95,Box Score,,"21,454",
"Fri, Nov 19, 1993",Chicago Bulls,88,Los Angeles Lakers,86,Box Score,,"15,512",
"Fri, Nov 19, 1993",Atlanta Hawks,95,Miami Heat,92,Box Score,,"15,031",
"Fri, Nov 19, 1993",Sacramento Kings,108,Minnesota Timberwolves,113,Box Score,,"17,810",
"Fri, Nov 19, 1993",Utah Jazz,115,Philadelphia 76ers,124,Box Score,,"17,124",
"Fri, Nov 19, 1993",Portland Trail Blazers,109,Phoenix Suns,118,Box Score,,"19,023",
"Fri, Nov 19, 1993",Dallas Mavericks,87,Seattle SuperSonics,116,Box Score,,"14,253",
