Date,Visitor/Neutral,PTS_1,Home/Neutral,PTS_2,_1,_2,Attend.,Notes
"Fri, Nov 4, 1994",Indiana Pacers,94,Atlanta Hawks,92,Box Score,,"12,568",
"Fri, Nov 4, 1994",New York Knicks,120,Boston Celtics,107,Box Score,,"14,890",
"Fri, Nov 4, 1994",Charlotte Hornets,83,Chicago Bulls,89,Box Score,,"22,313",
"Fri, Nov 4, 1994",Minnesota Timberwolves,108,Denver Nuggets,130,Box Score,,"17,171",
"Fri, Nov 4, 1994",Los Angeles Lakers,115,Detroit Pistons,98,Box Score,,"21,454",
"Fri, Nov 4, 1994",New Jersey Nets,86,Houston Rockets,90,Box Score,,"16,611",
"Fri, Nov 4, 1994",Portland Trail Blazers,121,Los Angeles Clippers,100,Box Score,,"14,229","at Yokohama, Japan"
"Fri, Nov 4, 1994",Milwaukee Bucks,91,Philadelphia 76ers,86,Box Score,,"16,114",
"Fri, Nov 4, 1994",Phoenix Suns,89,Sacramento Kings,107,Box Score,,"17,317",
"Fri, Nov 4, 1994",Golden State Warriors,123,San Antonio Spurs,118,Box Score,,"30,542",
"Fri, Nov 4, 1994",Miami Heat,108,Utah Jazz,119,Box Score,,"19,911",
"Fri, Nov 4, 1994",Orlando Magic,108,Washington Bullets,110,Box Score,,"18,756",
"Sat, Nov 5, 1994",Detroit Pistons,114,Atlanta Hawks,109,Box Score,OT,"11,587",
"Sat, Nov 5, 1994",Cleveland Cavaliers,115,Charlotte Hornets,107,Box Score,,"23,698",
"Sat, Nov 5, 1994",Washington Bullets,100,Chicago Bulls,99,Box Score,OT,"22,186",
"Sat, Nov 5, 1994",New Jersey Nets,103,Dallas Mavericks,112,Box Score,,"17,502",
"Sat, Nov 5, 1994",Golden State Warriors,108,Denver Nuggets,104,Box Score,,"17,171",
"Sat, Nov 5, 1994",Boston Celtics,103,Indiana Pacers,112,Box Score,,"16,532",
"Sat, Nov 5, 1994",Los Angeles Lakers,96,Milwaukee Bucks,97,Box Score,,"18,633",
"Sat, Nov 5, 1994",Houston Rockets,115,Minnesota Timberwolves,85,Box Score,,"16,578",
"Sat, Nov 5, 1994",Philadelphia 76ers,107,Orlando Magic,122,Box Score,,"16,010",
"Sat, Nov 5, 1994",Los Angeles Clippers,95,Portland Trail Blazers,112,Box Score,,"14,239","at Yokohama, Japan"
"Sat, Nov 5, 1994",Utah Jazz,103,Seattle SuperSonics,110,Box Score,,"16,324",
"Sun, Nov 6, 1994",Miami Heat,107,Phoenix Suns,119,Box Score,,"19,023",
"Mon, Nov 7, 1994",Philadelphia 76ers,83,Chicago Bulls,98,Box Score,,"22,122",
"Mon, Nov 7, 1994",New Jersey Nets,96,San Antonio Spurs,105,Box Score,,"13,805",
"Mon, Nov 7, 1994",Atlanta Hawks,86,Utah Jazz,104,Box Score,,"18,661",
"Tue, Nov 8, 1994",Houston Rockets,100,Cleveland Cavaliers,98,Box Score,,"20,562",
"Tue, Nov 8, 1994",Denver Nuggets,115,Dallas Mavericks,107,Box Score,,"12,526",
"Tue, Nov 8, 1994",Minnesota Timberwolves,112,Detroit Pistons,126,Box Score,,"13,424",
"Tue, Nov 8, 1994",Miami Heat,114,Golden State Warriors,121,Box Score,,"15,025",
"Tue, Nov 8, 1994",Los Angeles Lakers,113,New York Knicks,117,Box Score,,"19,763",
"Wed, Nov 9, 1994",Orlando Magic,130,Charlotte Hornets,128,Box Score,OT,"23,698",
"Wed, Nov 9, 1994",Houston Rockets,109,Indiana Pacers,104,Box Score,,"15,258",
"Wed, Nov 9, 1994",Los Angeles Lakers,122,Minnesota Timberwolves,99,Box Score,,"15,892",
"Wed, Nov 9, 1994",Chicago Bulls,109,New Jersey Nets,110,Box Score,,"20,049",
